projsym,method,abstract,mpdsector,paneldesc,nstrains,sexes,pophints,intervention,ages,pistring,projyear
Jaxwest13,"study archive","Survival and characterization of a systemic lupus erythematosus model, cyclophosphamide vs. control.",onestrain,1strain,1,both,MRL/MpJ-Fas<lpr>/J,cyclophosphamide,,"Yang Y",2011
Jaxwest14,"study archive","Survival and characterization of a systemic lupus erythematosus model, cyclophosphamide vs. control.",onestrain,1strain,1,both,NZBWF1/J,cyclophosphamide,,"Yang Y",2012
Jaxwest15,"study archive","Use of tumor induction in an immunodeficient strain to study efficacy of 2 chemotherapy drugs.",onestrain,1strain,1,f,"NOD.Cg-Prkdc<scid> Il2rg<tm1Wjl>/SzJ","tumor cell xenograft; docetaxel, paclitaxel",,"Yang Y",2013
Jaxwest2,"study archive","Neoplasia and tumor induction in an immunodeficient strain. Passage of live human tumor cells.",onestrain,1strain,1,f,NOD.CB17-Prkdc<scid>/J,"tumor cell xenograft",,"Jackson Laboratory",2007
Jaxwest3,"study archive","Effect of metformin on type 2 diabetes in a diabetic obese strain.",onestrain,1strain,1,f,"BKS.Cg-Dock7<m> +/+ Lepr<db>/J",metformin,,"Jackson Laboratory",2009
Jaxwest4,"study archive","Effects of test compounds on inflammatory bowel disease induced by dextran sulfate sodium",onestrain,1strain,1,m,C57BL/6J,"dextran sulfate",,"Jackson Laboratory",2009
Jaxwest5,"study archive","Effect of salbutamol on a model of asthma.",onestrain,1strain,1,f,BALB/cJ,salbutamol,,"Jackson Laboratory",2009
Jaxwest6,"study archive","Effect of salbutamol on a model of asthma.",onestrain,1strain,1,f,BALB/cJ,salbutamol,,"Jackson Laboratory",2009
Jaxwest7,"study archive","Effect of rosiglitazone on type 2 diabetes in a diabetic obese strain.",onestrain,1strain,1,f,"BKS.Cg-Dock7<m> +/+ Lepr<db>/J",rosiglitazone,,"Jackson Laboratory",2009
Jaxwest8,"study archive","Effect of L-DOPA in inhibiting Parkinsonian pathology.",onestrain,1strain,1,m,C57BL/6J,L-DOPA,,"Jackson Laboratory",2009
Jaxwest9,"study archive","Effect of captopril on hyperglycemia in a strain with induced type 1 diabetes.",onestrain,1strain,1,m,C57BL/6J,captopril,,"Jackson Laboratory",2009
Jentsch1,"operant conditioning chamber","Reversal learning test. Impulsivity, acquisition, reversal, conditioning. Performance and latency.",pheno,"BXD w/par",53,m,,,17wks,"Jentsch JD, Williams RW",2011
Jentsch2,"operant conditioning chamber","Intravenous self-administration of cocaine via activation of levers, and locomotor activity.",pheno,BXD,4,both,,cocaine,8-17wks,"Jentsch JD",2013
JMP001,"study archive","Battery of behavioral tests after low dose of aluminum ammonium sulfate.",onestrain,1strain,1,f,C57BL/6J,"aluminum ammonium sulfate",10-38wks,"Japan Mouse Phenotypes (JMP)",2019
Johnson1,"ABR test","Auditory brainstem response.",pheno,inbred,51,both,,,"3-12wks and 15-72wks","Johnson KR, Erway LC, Zheng QY",2000
Johnson3,"ABR test","Auditory brainstem response.",pheno,"B6.A consomic w/par",24,both,,,23-30wks,"Johnson KR, Donahue L",2012
Johnson4,"ABR test","Auditory brainstem response.",pheno,"B6.PWD consomic w/par",28,both,,,49-63wks,"Johnson KR, Donahue L",2012
Jones1,"vestibular stimulus test","Vestibular function using evoked potentials.",pheno,inbred,16,both,,,49-63wks,"Jones SM, Johnson KR, Jones TA, Erway LC",2003
Justice2,"complete blood count",Hematology.,pheno,inbred,16,both,,,12-16wks,"Justice M",2002
Karst1,"study archive","Characterization of high-muscle-mass mice.",qtla,"QTL population",,both,"BMMI816 x BMMI806 (Berlin Muscle Mouse)",,3-10wks,"Karst B, Palmer A",2011
Kas1,"balance beam","Latency to reach target.",pheno,inbred,6,m,,,20-34wks,"Kas MJ, de Mooij-van Malsen J",2009
Kas1,"grid test","Inverted grid performance.",pheno,inbred,6,m,,,20-34wks,"Kas MJ, de Mooij-van Malsen J",2009
Kas1,"home cage monitoring","Locomotor activity.",pheno,inbred,6,m,,,20-34wks,"Kas MJ, de Mooij-van Malsen J",2009
Kas1,microscopy,"Ventral root axon morphology. Nervous system microscopy.",pheno,inbred,6,m,,,20-34wks,"Kas MJ, de Mooij-van Malsen J",2009
Kielar1,"study archive","Genotyping of subcortical heterotopia associated with seizures, behavioral deficits.",onestrain,1strain,1,both,HeCo,,,"Francis F, Kielar M",2008
Kiernan1,"study archive","Ear microscopy (ampullae) and eye slit lamp study.",qtla,"QTL population",,f,"Jag1 heterozygous mice",,,"Kiernan AE, Churchill GA",2007
Kim1,"study archive","Glucose, insulin, body and fat pad weights.",qtla,"QTL population",,m,"TallyHo and C57BL/6J backcross progeny",,20-26wks,"Kim JH, Churchill GA",2001
Klaassen1,histopathology,"Cadmium-induced toxicity to liver, testis, trigeminal ganglia.",pheno,inbred,8,m,,cadmium,8wks,"Klaassen CD",2001
Kliethermes1,"monitoring system","Activity in a novel environment. Distance traveled, number of rears. 30 min test.",pheno,inbred,14,both,,,8wks,"Kliethermes CL, Crabbe JC",2006
Kliethermes1,"two chamber assay","Novel environment preference. Activity in familiar and novel compartments. 20 min test.",pheno,inbred,14,both,,,8wks,"Kliethermes CL, Crabbe JC",2006
Kliethermes1,"hole board test","Head dipping and other activity measures, hole board with and without objects in two of the holes. 10 min test.",pheno,inbred,14,both,,,8wks,"Kliethermes CL, Crabbe JC",2006
Kliethermes1,Y-maze,"Spontaneous alternation.",pheno,inbred,14,both,,,8wks,"Kliethermes CL, Crabbe JC",2006
Koide1,"avoidance test","Active and passive.",pheno,"wild-derived Mishima",11,f,,,8-13wks,"Koide T, Ikeda K, Moriwaki K, Niki H, Shiroishi T",2000
Koide1,"home cage monitoring","Locomotor activity.",pheno,"wild-derived Mishima",11,f,,,8-13wks,"Koide T, Ikeda K, Moriwaki K, Niki H, Shiroishi T",2000
Koide1,"light-dark box","Anxiety-related behavior.",pheno,"wild-derived Mishima",11,f,,,8-13wks,"Koide T, Ikeda K, Moriwaki K, Niki H, Shiroishi T",2000
Koide1,"nociception assay","Hot plate and pressure on tail.",pheno,"wild-derived Mishima",11,f,,,8-13wks,"Koide T, Ikeda K, Moriwaki K, Niki H, Shiroishi T",2000
Koide2,"nociception assay","Capsaicin intake at several concentrations.",pheno,"wild-derived Mishima",14,both,,,8-12wks,"Koide T, Furuse T",2003
Koide3,"open field test","Exploratory, anxiety-related behavior. 10 min test.",pheno,"wild-derived Mishima",12,both,,,10wks,"Koide T, Takahashi A",2006
Korstanje1,urinalysis,"Microalbumin, creatinine, ratio. Aging study, 6mo, 12mo, and 20mo.",pheno,inbred,30,both,,,"52, 78, 104 wks","Korstanje R",2008
Korstanje2,histopathology,"Kidney pathology. Aging study, 6mo, 12mo, 20mo.",pheno,inbred,29,m,,,"52, 78, 104 wks","Korstanje R",2013
Kumar1,"study archive","Open field test. Locomotor, anxiety-related, circadian behavior. Baseline and after cocaine i.p.",qtla,"QTL population",,both,"C57BL/6J x C57BL/6N reduced complexity cross.",cocaine,10-14wks,"Kumar V",2014
Lake1,"complete blood count",Hematology.,pheno,"B6.A consomic w/par",23,both,,,7-11wks,"Lake J, Donahue L, Davisson MT",2005
Lake1,"metabolic panel","Glucose, bilirubin, aspartate transaminase (plasma). 4h fast.",pheno,"B6.A consomic w/par",23,both,,,7-11wks,"Lake J, Donahue L, Davisson MT",2005
Lake1,"lipid profile","Cholesterol, HDL, triglycerides, fatty acids. 4h fast, plasma.",pheno,"B6.A consomic w/par",23,both,,,7-11wks,"Lake J, Donahue L, Davisson MT",2005
Lake1,ECG,"Heart rate and wave intervals. Conscious.",pheno,"B6.A consomic w/par",23,both,,,7-11wks,"Lake J, Donahue L, Davisson MT",2005
Lake1,"tail cuff","Heart rate and blood pressure. Conscious mice.",pheno,"B6.A consomic w/par",23,both,,,7-11wks,"Lake J, Donahue L, Davisson MT",2005
Lake2,"observation (SHIRPA)","Behavior, and neurosensory responses (SHIRPA protocol).",pheno,"B6.A consomic w/par",23,both,,,8wks,"Lake J, Donahue L, Davisson MT",2005
Lake3,rotarod,"Latency to fall from fixed and accelerating rotorods, multiple trials.",pheno,"B6.A consomic w/par",23,both,,,8-9wks,"Lake J, Donahue L, Davisson MT",2005
Lake3,"hole board test","Exploratory, locomotor, and anxiety-related behavior.",pheno,"B6.A consomic w/par",23,both,,,8-9wks,"Lake J, Donahue L, Davisson MT",2005
Lake3,"grip strength","3 trials.",pheno,"B6.A consomic w/par",23,both,,,8-9wks,"Lake J, Donahue L, Davisson MT",2005
Lazear1,"organ weights","Testis weight.",pheno,CC,12,m,,,13-21wks,"Lazear HM, Fritch EJ, Mattocks MD",2018
Lazear1,"sperm count","Sperm count. Computer assisted sperm analysis.",pheno,CC,12,m,,,13-21wks,"Lazear HM, Fritch EJ, Mattocks MD",2018
Lazear1,microscopy,"Male reproductive sperm motility. Computer assisted sperm analysis.",pheno,CC,12,m,,,13-21wks,"Lazear HM, Fritch EJ, Mattocks MD",2018
Lazear1,"colony observation","Litter size assessment.",pheno,CC,12,m,,,13-21wks,"Lazear HM, Fritch EJ, Mattocks MD",2018
Leiter2,"study archive","Type 1 diabetes development study.",qtla,"QTL population",,f,"NOD x 129.H2g7 backcross.",,14-40wks,"Leiter E",2009
Lesage1,"immune cell quantification","Immunological cell variation.",pheno,"CC w/par",77,both,,,5-8wks,"Lesage S, Collin R, Balmer L, Morahan G",2018
Levy1,"body weight",,pheno,"CC pre",31,both,,,8-14wks,"Levy R, Mott RF, Iraqi FA, Gabet Y",2015
Levy1,"computed tomography","Bone microarchitecture, morphology (femur).",pheno,"CC pre",31,both,,,8-14wks,"Levy R, Mott RF, Iraqi FA, Gabet Y",2015
Li1,"study archive","Lipids, atherosclerosis lesion histopathology. High-fat, western-style diet.",qtla,"QTL population",,f,"C57BL/6 x C3H intercross","western diet",12wks,"Li Q, Churchill GA",2008
Lightfoot1,"body weight",,pheno,inbred,41,both,,,8-9wks,"Lightfoot JT, Leamy L, Pomp D",2010
Lightfoot1,"running wheel monitoring","Distance, duration, speed.",pheno,inbred,41,both,,,8-9wks,"Lightfoot JT, Leamy L, Pomp D",2010
Lionikas1,"body weight","Exercise (swim endurance training regimen) vs. control at weekly intervals for 5wks.",pheno,inbred,6,m,,exercise,11-14wks,"Kilikevicius A, Lionikas A",2012
Lionikas1,microscopy,"Muscle fibers. Exercised (swim endurance training regimen) vs. control at weekly intervals for 5wks.",pheno,inbred,6,m,,exercise,11-14wks,"Kilikevicius A, Lionikas A",2012
Lionikas1,"muscle weights","Various muscles. Exercised (swim endurance training regimen) vs. control at weekly intervals for 5wks.",pheno,inbred,6,m,,exercise,11-14wks,"Kilikevicius A, Lionikas A",2012
Lionikas1,"organ weights","Heart weight. Cardiac ventricle weight. Exercised (swim endurance training regimen) vs. control at weekly intervals for 5wks.",pheno,inbred,6,m,,exercise,11-14wks,"Kilikevicius A, Lionikas A",2012
Lionikas1,"bone dimensions","Femur length. Exercised (swim endurance training regimen) vs. control at weekly intervals for 5wks.",pheno,inbred,6,m,,exercise,11-14wks,"Kilikevicius A, Lionikas A",2012
Lionikas1,"swim endurance test","Exercise vs. control, weekly for 5wks.",pheno,inbred,6,m,,exercise,11-14wks,"Kilikevicius A, Lionikas A",2012
Lionikas1,"protein activity assessment","Muscle enzyme levels. Exercised (swim endurance training regimen) vs. control at weekly intervals for 5wks.",pheno,inbred,6,m,,exercise,11-14wks,"Kilikevicius A, Lionikas A",2012
Loos1,"home cage monitoring","Locomotor activity, avoidance, sheltering, habituation, preference index, aversion index, over several days.",pheno,inbred,8,m,,,8-19wks,"Loos M, Maroteaux G, Smit A, Verhage M",2012
Loos2,"home cage monitoring","Locomotor activity, sheltering, habituation. 3 day home-cage assessment.",pheno,"inbred w/CC7",11,m,,,8-12wks,"Loos M, Koopmans B",2016
Lyons1,"study archive","Lipids (plasma), liver weight, gallbladder and gallstone histopathology.",qtla,"QTL population",,m,"DBA/2J x CAST/EiJ F2 progeny","high-fat diet",16-18wks,"Lyons MA, Churchill GA",2003
Lyons2,"study archive","Lipids (plasma), bile, liver weight, gallbladder and gallstone histopathology.",qtla,"QTL population",,m,"129S1/SvImJ x CAST/EiJ F2 progeny","high-fat diet",16-18wks,"Lyons MA, Churchill GA",2003
Lyons3,"study archive","Lipids, gallbladder and gallstone histopathology after high-fat diet.",qtla,"QTL population",,m,"129S1/SvImJ x RIIIS/J F2 intercross","high-fat diet",14-20wks,"Lyons MA, Churchill GA",2004
Maeda1,"study archive","Atherosclerosis lesion histopathology, lesion sizes.",qtla,"QTL population",,both,,,18-20wks,"Maeda N",2017
Mahler1,"study archive","Colitis susceptibility. Colon histopathology, spleen weight.",qtla,"QTL population",,both,"C3H/HeJBir x C57BL/6J backcrosses",,6wks,"Mahler M, Churchill GA",2002
Mao1,"body weight",,pheno,CC,16,both,,,10wks,"Mao J, Snijders AM",2015
Mao1,rotarod,"Speed where mouse falls off accelerating rotarod, 45 degree angle, 3-5 trials.",pheno,CC,16,both,,,10wks,"Mao J, Snijders AM",2015
Marchuk1,histopathology,"Cerebral infarct volume, stroke susceptibility. Surgical occlusion of distal medial cerebral artery (MCA) to induce ischemia.",pheno,inbred,16,both,,,11-13wks,"Marchuk DA",2009
Massett1,"body weight",,pheno,inbred,34,both,,,8wks,"Massett MP",2012
Massett1,"treadmill endurance test","Duration, distance, work.",pheno,inbred,34,both,,,8wks,"Massett MP",2012
Mathes1,"body weight","Baseline vs. after exercise (access to running wheel).",pheno,"CC pre w/par",184,m,,exercise,10-12wks,"Mathes WF",2011
Mathes1,MRI,"Body composition (percent fat). Baseline vs. after exercise (access to running wheel).",pheno,"CC pre w/par",184,m,,exercise,10-12wks,"Mathes WF",2011
Mathes1,"intake monitoring","Caloric intake. Baseline vs. after exercise (access to running wheel). Metabolism, food intake.",pheno,"CC pre w/par",184,m,,exercise,10-12wks,"Mathes WF",2011
Mathes1,"monitoring system","Respiratory exchange ratio. Baseline (before access to running wheel).",pheno,"CC pre w/par",184,m,,exercise,10-12wks,"Mathes WF",2011
Mathes1,"running wheel monitoring","Distance, speed at days 1, 6, and 12.",pheno,"CC pre w/par",184,m,,exercise,10-12wks,"Mathes WF",2011
Mathews1,"study archive","Type 1 diabetes resistance.",qtla,"QTL population",,f,"ALR/Lt x NOD backcross",,8-40wks,"Mathews CE, Churchill GA",2003
Maurer1,"body weight","Isoproterenol or atenolol vs. control.",pheno,inbred,23,m,,"atenolol, isoproterenol",10-12wks,"Maurer F, Beckmann J, Abriel H, Pedrazzini T",2009
Maurer1,"organ weights","Heart, atria, ventricle weights. Isoproterenol or atenolol vs. control.",pheno,inbred,23,m,,"atenolol, isoproterenol",10-12wks,"Maurer F, Beckmann J, Abriel H, Pedrazzini T",2009
Maurer1,"tail cuff","Heart rate and blood pressure. Conscious mice. Isoproterenol or atenolol vs. control.",pheno,inbred,23,m,,"atenolol, isoproterenol",10-12wks,"Maurer F, Beckmann J, Abriel H, Pedrazzini T",2009
Maurer1,ECG,"Heart rate and wave amplitudes and intervals. Unconscious. Isoproterenol or atenolol vs. control.",pheno,inbred,23,m,,"atenolol, isoproterenol",10-12wks,"Maurer F, Beckmann J, Abriel H, Pedrazzini T",2009
McMullan1,"body weight",,pheno,CC,50,f,,,17-72wks,"McMullan RC, Pomp D, Pardo-Manuel de Villena F",2017
McMullan1,MRI,"Body composition (fat and lean mass and percent).",pheno,CC,50,f,,,17-72wks,"McMullan RC, Pomp D, Pardo-Manuel de Villena F",2017
McMullan1,"treadmill endurance test","Maximal distance is recorded when mouse fails to run.",pheno,CC,50,f,,,17-72wks,"McMullan RC, Pomp D, Pardo-Manuel de Villena F",2017
McMullan2,"running wheel monitoring","Running wheel activity each day for 28 days.",pheno,CC,43,f,,,5-22wks,"McMullan RC, Pomp D, Pardo-Manuel de Villena F",2017
McMullan3,"body weight","Body weight before, during, and after several weeks of exercise.",pheno,CC,43,f,,,20-88wks,"McMullan RC, Pomp D, Pardo-Manuel de Villena F",2017
McMullan3,MRI,"Body composition (fat and lean mass) before, during, and after several weeks of exercise.",pheno,CC,43,f,,,20-88wks,"McMullan RC, Pomp D, Pardo-Manuel de Villena F",2017
McMullan3,"intake monitoring","Food intake, before, during, and after several weeks of exercise.",pheno,CC,43,f,,,20-88wks,"McMullan RC, Pomp D, Pardo-Manuel de Villena F",2017
McMullan4,"body weight","Body weight before and after 2 weeks of exercise wheel availability.",pheno,CC,13,f,,exercise,32-40wks,"McMullan RC, Pardo-Manuel de Villena F",2018
McMullan4,MRI,"Body composition (fat and lean mass) before and after 2 weeks of exercise wheel availability.",pheno,CC,13,f,,exercise,32-40wks,"McMullan RC, Pardo-Manuel de Villena F",2018
McMullan4,"running wheel monitoring","Running wheel activity on days 11 and 12.",pheno,CC,13,f,,exercise,32-40wks,"McMullan RC, Pardo-Manuel de Villena F",2018
McMullan4,"intake monitoring","Food intake during 2 weeks of exercise wheel availability.",pheno,CC,13,f,,exercise,32-40wks,"McMullan RC, Pardo-Manuel de Villena F",2018
McMullan5,"study archive","Activity levels, body weight and composition after voluntary exercise.",phenoarchive,CC,2,f,,exercise,14-18wks,"McMullan RC, Pardo-Manuel de Villena F",2018
McMullan6,"body weight","Body weight before and after 4 weeks of treadmill-based exercise training. 3 intensity cohorts.",pheno,CC,4,both,,exercise,8-10wks,"McMullan RC, Pardo-Manuel de Villena F",2018
McMullan6,MRI,"Body composition (fat and lean mass) before and after 4 weeks of treadmill-based exercise training. 3 intensity cohorts.",pheno,CC,4,both,,exercise,8-10wks,"McMullan RC, Pardo-Manuel de Villena F",2018
McMullan7,"monitoring system","Locomotor activity, respiratory activity, body heat production, during 4 weeks of treadmill-based exercise training. 3 intensity cohorts.",pheno,CC,4,both,,exercise,8-10wks,"McMullan RC, Pardo-Manuel de Villena F",2018
McMullan7,"intake monitoring","Food and water intake, during 4 weeks of treadmill-based exercise training. 3 intensity cohorts.",pheno,CC,4,both,,exercise,8-10wks,"McMullan RC, Pardo-Manuel de Villena F",2018
Metten1,"behavior observation","Observed gait, hindlimb splay 10 min and 30 min after ethanol i.p. (several doses).",pheno,inbred,9,both,,ethanol,8-11wks,"Metten P, Crabbe JC, Wahlsten D",2004
Metten1,"open field test","Locomotor activity. Ethanol i.p. (several doses) vs. control (saline i.p.). 45s test.",pheno,inbred,9,both,,ethanol,8-11wks,"Metten P, Crabbe JC, Wahlsten D",2004
Metten2,"body weight",,pheno,inbred,15,m,,ethanol,8-11wks,"Metten P, Crabbe JC",2005
Metten2,"behavior observation","Ethanol withdrawal severity and handling-induced convulsions.",pheno,inbred,15,m,,ethanol,8-11wks,"Metten P, Crabbe JC",2005
Mills1,"chromosome instability assessment","Chromosome instability. Aging study, 6mo, 12mo, 20mo.",pheno,inbred,30,both,,,"26, 52, 87 wks","Mills K",2008
Mills1,"apoptosis assessment","Aging study, 6mo, 12mo, 20mo.",pheno,inbred,30,both,,,"26, 52, 87 wks","Mills K",2008
Mitchell1,"go/no-go task","Pre-cue, go cue. no-go cue. Discrimination index.",pheno,inbred,15,m,,,5-7wks,"Mitchell SH",2010
Mitchell1,"monitoring system","Locomotor activity.",pheno,inbred,15,m,,,5-7wks,"Mitchell SH",2010
Mitchell1,"bottle choice test","Sucrose vs. water.",pheno,inbred,15,m,,,5-7wks,"Mitchell SH",2010
Mogil1,"nociception assay","Battery of tests for mechanical, chemical, thermal nociception.",pheno,inbred,12,m,,,6-18wks,"Mogil JS, Devor M, Lariviere WR",2002
Mogil2,"monitoring system","Locomotor activity. Light and dark phases.",pheno,inbred,12,m,,,6-10wks,"Mogil JS",2000
Mogil3,"nociception assay","von Frey nociception test, baseline and after spared nerve injury (SNI) surgery as a hypersensitizer.",pheno,inbred,18,both,,,7-12wks,"Mogil JS, Salter MW",2012
Moore1,"study archive","Gravitropic response in Arabidopsis.",qtla,"QTL population",,both,"Ler x Cvi population",,,"Moore CR, Broman KW",2013
Morgan1,"body weight","Body weight and growth curve from age 8wks to 18wks weighed every 2wks. Olanzapine vs. control (both groups high-fat diet).",pheno,"inbred w/CC8",9,f,,"high-fat diet and olanzapine",8-18wks,"Morgan AP, Crowley JJ, Sullivan PF",2014
Moy1,"three chamber assay","Sociability and preference for social novelty. Autism-relevant behaviors.",pheno,inbred,17,m,,,6-7wks,"Moy SS, Crawley JN, Lauder JM, Nadler JJ, Threadgill DW, Magnuson TR",2008
Mrug1,"study archive","Kidney morphology.",qtla,"QTL population",,both,"cpk mutant mice",,1-2wks,"Mrug M, Churchill GA",2005
Nadeau1,"body weight","Baseline vs. high-fat diet for 12wks.",pheno,"B6.A consomic w/par",24,m,,"high-fat diet","5, 17 wks","Nadeau JH, Hill AE",2008
Nadeau2,"body size and weight","Body weight, size, and body mass index after 16wks on high-fat high-sucrose diet.",pheno,"B6.A consomic w/par",24,m,,"high-fat high-sucrose diet","5, 21 wks","Riordan JD, Croniger CM, Sinasac DS, Nadeau JH",2015
Nadeau2,"metabolic panel","Glucose, insulin, insulin resistance after 16wks of high-fat high-sucrose diet. 16h fast.",pheno,"B6.A consomic w/par",24,m,,"high-fat high-sucrose diet","5, 21 wks","Riordan JD, Croniger CM, Sinasac DS, Nadeau JH",2015
Nadeau2,"lipid profile","Cholesterol, triglycerides. 16h fast, plasma. Hepatic triglycerides.",pheno,"B6.A consomic w/par",24,m,,"high-fat high-sucrose diet","5, 21 wks","Riordan JD, Croniger CM, Sinasac DS, Nadeau JH",2015
Nadeau2,"organ weights","Liver weight after 16wks of high-fat high-sucrose diet. 16h fast.",pheno,"B6.A consomic w/par",24,m,,"high-fat high-sucrose diet","5, 21 wks","Riordan JD, Croniger CM, Sinasac DS, Nadeau JH",2015
Naggert1,"body weight","High-fat diet for 8wks.",pheno,"inbred w/CC7",43,both,,"high-fat diet","5, 21 wks","Naggert J, Svenson KL, Smith RV, Paigen B, Peters LL",2003
Naggert1,DXA,"Body mass, fat mass, lean mass, bone mineral density and content after 8wks on high-fat diet.",pheno,"inbred w/CC7",43,both,,"high-fat diet","5, 21 wks","Naggert J, Svenson KL, Smith RV, Paigen B, Peters LL",2003
Naggert1,"metabolic panel","Glucose (plasma). Baseline vs. high-fat diet (17wks). 4h fast.",pheno,"inbred w/CC7",43,both,,"high-fat diet","5, 21 wks","Naggert J, Svenson KL, Smith RV, Paigen B, Peters LL",2003
Naggert1,"hormone quantification","Insulin and leptin after 18wks on high-fat diet. Multiple readings per animal were averaged.",pheno,"inbred w/CC7",43,both,,"high-fat diet","5, 21 wks","Naggert J, Svenson KL, Smith RV, Paigen B, Peters LL",2003
Nelson1,"body weight","Restricted diet vs. ad libitum diet.",pheno,ILSXISS,44,both,,"restricted diet","max lifespan","Nelson JF, Johnson TE",2010
Nelson1,NMR,"Body mass, fat mass, lean mass. Restricted diet vs. ad libitum diet.",pheno,ILSXISS,44,both,,"restricted diet","max lifespan","Nelson JF, Johnson TE",2010
Nelson1,"colony observation","Life span comparison. Restricted diet vs. ad libitum diet.",pheno,ILSXISS,44,both,,"restricted diet","max lifespan","Nelson JF, Johnson TE",2010
Nishihara1,"study archive","Blood pressure (tail cuff).",qtla,"QTL population",,m,"C3H x NZO and NZO x C3H intercross F2 progeny",,10wks,"Nishihara E, Churchill GA",2007
Odet1,"body weight",,pheno,inbred,8,m,,,10-66wks,"O'Brien DA, Odet F, Pan W, Pardo-Manuel de Villena F",2015
Odet1,"organ weights","Male reproductive organ weights. Testes, seminal vesicles, epididymis, vas deferens.",pheno,inbred,8,m,,,10-66wks,"O'Brien DA, Odet F, Pan W, Pardo-Manuel de Villena F",2015
Odet1,histopathology,"Male reproductive histopathology. Percent normal vs. abnormal sperm, seminiferous tubules.",pheno,inbred,8,m,,,10-66wks,"O'Brien DA, Odet F, Pan W, Pardo-Manuel de Villena F",2015
Odet1,"sperm count","Sperm count. Hemocytometer.",pheno,inbred,8,m,,,10-66wks,"O'Brien DA, Odet F, Pan W, Pardo-Manuel de Villena F",2015
Odet1,"metabolic panel","Male reproductive sperm lactate production.",pheno,inbred,8,m,,,10-66wks,"O'Brien DA, Odet F, Pan W, Pardo-Manuel de Villena F",2015
Odet2,microscopy,"Male reproductive sperm motility.",pheno,"inbred w/CC8",8,m,,,10-66wks,"O'Brien DA, Odet F, Pan W, Pardo-Manuel de Villena F",2015
Paigen1,"body weight","Baseline vs. high-fat diet for 8wks.",pheno,inbred,44,both,,"high-fat diet",15-19wks,"Paigen B, Bouchard G, Carey MC",2000
Paigen1,"lipid profile","Cholesterol, HDL, non-HDL. 4h fast, plasma. Hepatic lipids. 8wks on high-fat diet.",pheno,inbred,44,both,,"high-fat diet",15-19wks,"Paigen B, Bouchard G, Carey MC",2000
Paigen1,"metabolic panel","Alanine transaminase, bile salts (plasma) after 8wks on high-fat diet. 4h fast.",pheno,inbred,44,both,,"high-fat diet",15-19wks,"Paigen B, Bouchard G, Carey MC",2000
Paigen1,histopathology,"Gallstone, gallbladder, and atherosclerosis lesion histopathology after 8wks on high-fat diet.",pheno,inbred,44,both,,"high-fat diet",15-19wks,"Paigen B, Bouchard G, Carey MC",2000
Paigen1,"organ dimensions","Gallbladder volume after 8wks on high-fat diet.",pheno,inbred,44,both,,"high-fat diet",15-19wks,"Paigen B, Bouchard G, Carey MC",2000
Paigen1,"organ weights","Liver weight after 8wks on high-fat diet.",pheno,inbred,44,both,,"high-fat diet",15-19wks,"Paigen B, Bouchard G, Carey MC",2000
Paigen2,histopathology,"Aortic lesion size histopathology. Baseline vs. high-fat diet (17wks).",pheno,"inbred w/CC7",43,both,,"high-fat diet","7-9wks, 24-27wks","Paigen B, Svenson KL, Peters LL",2002
Paigen2,"lipid profile","Cholesterol, HDL, non-HDL, triglycerides. Baseline vs. high-fat diet (17wks). 4h fast, plasma.",pheno,"inbred w/CC7",43,both,,"high-fat diet","7-9wks, 24-27wks","Paigen B, Svenson KL, Peters LL",2002
Paigen3,"body weight","Baseline vs. high-fat diet for 8wks.",pheno,"obesity mutants",8,both,,"high-fat diet",15-19wks,"Paigen B, Bouchard G, Carey MC",2000
Paigen3,"lipid profile","Cholesterol, HDL, non-HDL. 4h fast, plasma. Hepatic lipids. 8wks on high-fat diet.",pheno,"obesity mutants",8,both,,"high-fat diet",15-19wks,"Paigen B, Bouchard G, Carey MC",2000
Paigen3,"metabolic panel","Alanine transaminase, bile salts (plasma) after 8wks on high-fat diet. 4h fast.",pheno,"obesity mutants",8,both,,"high-fat diet",15-19wks,"Paigen B, Bouchard G, Carey MC",2000
Paigen3,histopathology,"Gallstone, gallbladder, and atherosclerosis lesion histopathology after 8wks on high-fat diet",pheno,"obesity mutants",8,both,,"high-fat diet",15-19wks,"Paigen B, Bouchard G, Carey MC",2000
Paigen3,"organ dimensions","Gallbladder volume after 8wks on high-fat diet",pheno,"obesity mutants",8,both,,"high-fat diet",15-19wks,"Paigen B, Bouchard G, Carey MC",2000
Paigen3,"organ weights","Liver weight after 8wks on high-fat diet.",pheno,"obesity mutants",8,both,,"high-fat diet",15-19wks,"Paigen B, Bouchard G, Carey MC",2000
Paigen4,"lipid profile","Cholesterol, HDL, non-HDL, triglycerides. 4h fast, plasma.",pheno,"inbred w/CC7",43,both,,,10wks,"Paigen B, Svenson KL, Peters LL",2002
Palmer1,"fear conditioning test","Innate anxiety-like behavior and contextual fear conditioning.",pheno,"B6.A consomic w/par",19,both,,,10wks,"Palmer A, Ponder CA, Munoz M, Gilliam TC",2007
Palmer2,"open field test","Locomotor activity and habituation.  Baseline (saline) vs. methamphetamine 2 mg/kg i.p. 30 min test.",pheno,"B6.A consomic w/par",21,both,,methamphetamine,10wks,"Palmer A",2008
Palmer3,"body weight",,pheno,"F1 Tcf7l2",30,both,,,7-14wks,"Sittig LJ, Palmer AA",2017
